timestamp,road_id,vehicle_count,average_speed,congestion_level,pm25_concentration,no2_concentration,aqi_label,temperature_c,rainfall_mm,visibility_km,hour,day_type,ai_predicted_speed
2026-05-01 06:00:00,ROAD_001,498,38.1,Low,33.4,25.4,Moderate,21.0,0.0,9.8,6,Weekday,39.392499999999956
2026-05-01 06:00:00,ROAD_002,402,42.6,Low,30.4,26.1,Moderate,21.0,0.0,9.8,6,Weekday,42.16333333333331
2026-05-01 06:00:00,ROAD_003,296,56.7,Low,24.8,19.0,Good,21.0,0.0,9.8,6,Weekday,49.35726666666673
2026-05-01 07:00:00,ROAD_001,576,39.0,Low,38.9,29.0,Moderate,25.3,0.0,8.9,7,Weekday,36.98890000000002
2026-05-01 07:00:00,ROAD_002,587,37.3,Medium,42.5,22.5,Moderate,25.3,0.0,8.9,7,Weekday,38.26850000000004
2026-05-01 07:00:00,ROAD_003,417,55.5,Low,33.7,17.9,Moderate,25.3,0.0,8.9,7,Weekday,53.265814285714356
2026-05-01 08:00:00,ROAD_001,958,37.4,Medium,57.1,44.7,Moderate,24.1,0.0,8.6,8,Weekday,32.027335714285734
2026-05-01 08:00:00,ROAD_002,795,29.9,Medium,56.5,40.8,Moderate,24.1,0.0,8.6,8,Weekday,31.97985714285716
2026-05-01 08:00:00,ROAD_003,668,43.4,Low,52.1,27.8,Moderate,24.1,0.0,8.6,8,Weekday,43.41160793650794
2026-05-01 09:00:00,ROAD_001,1040,26.6,Medium,62.3,44.4,Poor,27.8,0.0,9.3,9,Weekday,27.140999999999973
2026-05-01 09:00:00,ROAD_002,837,32.8,Medium,47.4,41.2,Moderate,27.8,0.0,9.3,9,Weekday,32.67500000000003
2026-05-01 09:00:00,ROAD_003,683,50.4,Low,41.8,32.6,Moderate,27.8,0.0,9.3,9,Weekday,44.7396
2026-05-01 10:00:00,ROAD_001,988,25.7,Medium,60.6,49.8,Poor,30.4,0.0,9.8,10,Weekday,29.262208333333305
2026-05-01 10:00:00,ROAD_002,732,35.3,Medium,49.2,38.7,Moderate,30.4,0.0,9.8,10,Weekday,36.39966666666672
2026-05-01 10:00:00,ROAD_003,587,43.8,Low,44.0,31.7,Moderate,30.4,0.0,9.8,10,Weekday,48.81437222222221
2026-05-01 11:00:00,ROAD_001,656,37.0,Medium,46.0,30.1,Moderate,30.8,0.0,9.8,11,Weekday,37.28499999999999
2026-05-01 11:00:00,ROAD_002,644,38.0,Low,38.0,35.2,Moderate,30.8,0.0,9.8,11,Weekday,38.02499999999999
2026-05-01 11:00:00,ROAD_003,416,53.7,Low,39.5,21.3,Moderate,30.8,0.0,9.8,11,Weekday,53.17599999999993
2026-05-01 12:00:00,ROAD_001,474,45.8,Low,35.1,23.6,Moderate,31.4,0.0,9.3,12,Weekday,43.4304
2026-05-01 12:00:00,ROAD_002,332,40.6,Low,29.6,23.0,Good,31.4,0.0,9.3,12,Weekday,42.91484999999999
2026-05-01 12:00:00,ROAD_003,305,56.1,Low,28.8,26.5,Good,31.4,0.0,9.3,12,Weekday,56.8517
2026-05-01 13:00:00,ROAD_001,347,40.2,Low,25.3,24.1,Good,29.7,0.0,9.2,13,Weekday,41.80699999999993
2026-05-01 13:00:00,ROAD_002,259,46.7,Low,29.0,18.8,Good,29.7,0.0,9.2,13,Weekday,45.472999999999935
2026-05-01 13:00:00,ROAD_003,181,51.7,Low,20.9,19.8,Good,29.7,0.0,9.2,13,Weekday,54.07499999999994
2026-05-01 14:00:00,ROAD_001,336,44.2,Low,25.7,22.4,Good,29.2,0.0,8.3,14,Weekday,43.448799999999956
2026-05-01 14:00:00,ROAD_002,276,40.8,Low,29.2,21.9,Good,29.2,0.0,8.3,14,Weekday,41.34200000000004
2026-05-01 14:00:00,ROAD_003,263,57.7,Low,19.9,15.5,Good,29.2,0.0,8.3,14,Weekday,52.667999999999985
2026-05-01 15:00:00,ROAD_001,490,51.3,Low,39.9,31.7,Moderate,28.9,0.0,9.6,15,Weekday,45.46722380952384
2026-05-01 15:00:00,ROAD_002,429,43.0,Low,32.7,28.1,Moderate,28.9,0.0,9.6,15,Weekday,45.05766666666668
2026-05-01 15:00:00,ROAD_003,282,53.4,Low,25.3,20.2,Good,28.9,0.0,9.6,15,Weekday,53.89200000000001
2026-05-01 16:00:00,ROAD_001,773,29.1,Medium,47.4,41.4,Moderate,26.2,0.0,8.9,16,Weekday,30.826571428571405
2026-05-01 16:00:00,ROAD_002,624,33.8,Medium,39.5,34.6,Moderate,26.2,0.0,8.9,16,Weekday,40.45266666666663
2026-05-01 16:00:00,ROAD_003,468,50.9,Low,36.3,23.8,Moderate,26.2,0.0,8.9,16,Weekday,52.326733333333344
2026-05-01 17:00:00,ROAD_001,977,30.2,Medium,55.7,47.6,Moderate,24.6,0.0,9.1,17,Weekday,26.94295238095239
2026-05-01 17:00:00,ROAD_002,850,31.9,Medium,55.8,43.2,Moderate,24.6,0.0,9.1,17,Weekday,31.665114285714296
2026-05-01 17:00:00,ROAD_003,657,45.3,Low,42.2,30.4,Moderate,24.6,0.0,9.1,17,Weekday,42.67802142857144
2026-05-01 18:00:00,ROAD_001,1149,28.8,Medium,77.3,54.3,Poor,22.9,0.0,9.1,18,Weekday,27.212750000000014
2026-05-01 18:00:00,ROAD_002,939,29.0,Medium,63.6,40.0,Poor,22.9,0.0,9.1,18,Weekday,29.205733333333328
2026-05-01 18:00:00,ROAD_003,817,45.3,Low,47.1,38.4,Moderate,22.9,0.0,9.1,18,Weekday,44.69999523809529
2026-05-01 19:00:00,ROAD_001,1047,24.4,Medium,70.3,40.9,Poor,19.8,0.0,9.0,19,Weekday,25.98400000000001
2026-05-01 19:00:00,ROAD_002,864,32.4,Medium,61.1,34.5,Poor,19.8,0.0,9.0,19,Weekday,30.585833333333365
2026-05-01 19:00:00,ROAD_003,751,44.4,Low,43.9,38.1,Moderate,19.8,0.0,9.0,19,Weekday,43.81500000000001
2026-05-01 20:00:00,ROAD_001,748,33.3,Medium,49.2,38.8,Moderate,18.6,0.0,8.1,20,Weekday,32.52900000000003
2026-05-01 20:00:00,ROAD_002,685,32.0,Medium,56.5,26.2,Moderate,18.6,0.0,8.1,20,Weekday,32.84416666666668
2026-05-01 20:00:00,ROAD_003,491,51.5,Low,38.5,24.7,Moderate,18.6,0.0,8.1,20,Weekday,50.40899999999997
2026-05-01 21:00:00,ROAD_001,443,43.3,Low,36.7,22.7,Moderate,15.6,0.0,8.1,21,Weekday,43.00199999999999
2026-05-01 21:00:00,ROAD_002,425,42.1,Low,38.2,27.4,Moderate,15.6,0.0,8.1,21,Weekday,41.84116666666663
2026-05-01 21:00:00,ROAD_003,278,52.5,Low,31.2,22.2,Moderate,15.6,0.0,8.1,21,Weekday,56.30200000000001
2026-05-01 22:00:00,ROAD_001,365,40.6,Low,34.2,22.0,Moderate,14.7,0.0,10.0,22,Weekday,40.58224999999997
2026-05-01 22:00:00,ROAD_002,253,48.0,Low,30.5,22.1,Moderate,14.7,0.0,10.0,22,Weekday,45.744566666666714
2026-05-01 22:00:00,ROAD_003,261,54.6,Low,30.2,17.9,Moderate,14.7,0.0,10.0,22,Weekday,53.8222
2026-05-01 23:00:00,ROAD_001,270,44.0,Low,27.6,21.8,Good,12.3,0.0,8.8,23,Weekday,43.61200000000007
2026-05-01 23:00:00,ROAD_002,181,52.5,Low,18.1,11.5,Good,12.3,0.0,8.8,23,Weekday,45.632999999999996
2026-05-01 23:00:00,ROAD_003,218,57.8,Low,27.9,20.1,Good,12.3,0.0,8.8,23,Weekday,56.209000000000024
2026-05-02 00:00:00,ROAD_001,395,39.7,Low,37.7,23.2,Moderate,14.0,0.0,8.2,0,Weekend,39.10199999999998
2026-05-02 00:00:00,ROAD_002,293,42.9,Low,30.2,18.0,Moderate,14.0,0.0,8.2,0,Weekend,44.15700000000003
2026-05-02 00:00:00,ROAD_003,228,56.0,Low,26.5,16.0,Good,14.0,0.0,8.2,0,Weekend,54.75749999999998
2026-05-02 01:00:00,ROAD_001,461,41.1,Low,28.5,20.5,Good,15.6,0.0,8.1,1,Weekend,40.67399999999995
2026-05-02 01:00:00,ROAD_002,371,41.6,Low,33.2,28.9,Moderate,15.6,0.0,8.1,1,Weekend,41.561999999999955
2026-05-02 01:00:00,ROAD_003,354,52.1,Low,30.8,18.4,Moderate,15.6,0.0,8.1,1,Weekend,52.50033333333337
2026-05-02 02:00:00,ROAD_001,612,34.8,Medium,45.1,37.6,Moderate,14.9,0.0,8.0,2,Weekend,35.00500000000003
2026-05-02 02:00:00,ROAD_002,495,40.9,Low,40.7,25.7,Moderate,14.9,0.0,8.0,2,Weekend,39.26200000000006
2026-05-02 02:00:00,ROAD_003,408,51.5,Low,33.8,21.2,Moderate,14.9,0.0,8.0,2,Weekend,52.66233333333334
2026-05-02 03:00:00,ROAD_001,778,36.7,Medium,60.8,34.2,Poor,16.4,0.0,9.9,3,Weekend,36.56299999999996
2026-05-02 03:00:00,ROAD_002,634,37.3,Medium,54.5,29.0,Moderate,16.4,0.0,9.9,3,Weekend,36.94300000000005
2026-05-02 03:00:00,ROAD_003,446,48.9,Low,24.5,23.5,Good,16.4,0.0,9.9,3,Weekend,51.00800000000001
2026-05-02 04:00:00,ROAD_001,821,38.5,Low,56.7,36.4,Moderate,16.3,0.0,9.2,4,Weekend,37.29849999999997
2026-05-02 04:00:00,ROAD_002,637,38.2,Low,37.1,39.6,Moderate,16.3,0.0,9.2,4,Weekend,37.82299999999997
2026-05-02 04:00:00,ROAD_003,585,46.4,Low,32.8,35.9,Moderate,16.3,0.0,9.2,4,Weekend,47.52000000000001
2026-05-02 05:00:00,ROAD_001,776,30.1,Medium,47.3,35.8,Moderate,19.8,1.3,6.7,5,Weekend,30.559999999999967
2026-05-02 05:00:00,ROAD_002,681,35.7,Medium,37.7,31.7,Moderate,19.8,1.3,6.7,5,Weekend,34.95999999999996
2026-05-02 05:00:00,ROAD_003,564,47.8,Low,41.3,23.7,Moderate,19.8,1.3,6.7,5,Weekend,46.79000000000005
2026-05-02 06:00:00,ROAD_001,817,39.1,Low,52.3,44.8,Moderate,20.5,0.0,8.7,6,Weekend,36.25399999999996
2026-05-02 06:00:00,ROAD_002,680,39.3,Low,50.7,34.5,Moderate,20.5,0.0,8.7,6,Weekend,38.20800000000003
2026-05-02 06:00:00,ROAD_003,497,48.8,Low,44.8,30.9,Moderate,20.5,0.0,8.7,6,Weekend,48.77500000000005
2026-05-02 07:00:00,ROAD_001,762,28.8,Medium,43.4,28.5,Moderate,22.1,0.0,8.3,7,Weekend,31.200000000000024
2026-05-02 07:00:00,ROAD_002,589,39.9,Low,49.0,30.9,Moderate,22.1,0.0,8.3,7,Weekend,38.98800000000005
2026-05-02 07:00:00,ROAD_003,545,44.5,Low,31.0,28.9,Moderate,22.1,0.0,8.3,7,Weekend,46.104833333333325
2026-05-02 08:00:00,ROAD_001,644,32.3,Medium,43.4,32.2,Moderate,26.0,0.0,10.0,8,Weekend,34.94675000000001
2026-05-02 08:00:00,ROAD_002,455,42.0,Low,39.2,24.8,Moderate,26.0,0.0,10.0,8,Weekend,41.05733333333331
2026-05-02 08:00:00,ROAD_003,482,49.0,Low,34.5,25.0,Moderate,26.0,0.0,10.0,8,Weekend,50.246
2026-05-02 09:00:00,ROAD_001,447,39.0,Low,27.9,24.9,Good,26.3,0.0,8.1,9,Weekend,44.76400000000003
2026-05-02 09:00:00,ROAD_002,402,34.8,Medium,32.6,24.2,Moderate,26.3,0.0,8.1,9,Weekend,44.00133333333338
2026-05-02 09:00:00,ROAD_003,340,56.5,Low,34.6,19.4,Moderate,26.3,0.0,8.1,9,Weekend,55.617000000000004
2026-05-02 10:00:00,ROAD_001,370,38.6,Low,43.5,21.7,Moderate,27.7,0.0,9.5,10,Weekend,40.108142857142816
2026-05-02 10:00:00,ROAD_002,301,37.2,Medium,32.8,16.6,Moderate,27.7,0.0,9.5,10,Weekend,39.37739999999999
2026-05-02 10:00:00,ROAD_003,262,57.4,Low,21.9,19.5,Good,27.7,0.0,9.5,10,Weekend,56.08489999999996
2026-05-02 11:00:00,ROAD_001,327,40.5,Low,28.8,21.3,Good,29.9,0.0,8.9,11,Weekend,40.85649999999999
2026-05-02 11:00:00,ROAD_002,257,42.7,Low,22.7,17.6,Good,29.9,0.0,8.9,11,Weekend,42.64499999999996
2026-05-02 11:00:00,ROAD_003,248,57.6,Low,31.4,21.3,Moderate,29.9,0.0,8.9,11,Weekend,55.46641666666669
2026-05-02 12:00:00,ROAD_001,487,42.9,Low,34.7,33.4,Moderate,28.3,0.0,9.0,12,Weekend,42.09500000000005
2026-05-02 12:00:00,ROAD_002,311,41.5,Low,36.0,15.6,Moderate,28.3,0.0,9.0,12,Weekend,40.86883333333332
2026-05-02 12:00:00,ROAD_003,184,59.0,Low,23.4,16.9,Good,28.3,0.0,9.0,12,Weekend,57.61400000000001
2026-05-02 13:00:00,ROAD_001,461,38.5,Low,33.8,24.5,Moderate,28.1,0.0,8.5,13,Weekend,41.25200000000004
2026-05-02 13:00:00,ROAD_002,366,40.7,Low,19.0,25.5,Good,28.1,0.0,8.5,13,Weekend,40.45899999999996
2026-05-02 13:00:00,ROAD_003,335,52.8,Low,31.3,22.8,Moderate,28.1,0.0,8.5,13,Weekend,52.90650000000009
2026-05-02 14:00:00,ROAD_001,621,37.7,Medium,53.2,38.2,Moderate,27.6,0.0,8.5,14,Weekend,38.27849999999996
2026-05-02 14:00:00,ROAD_002,537,36.5,Medium,36.3,24.8,Moderate,27.6,0.0,8.5,14,Weekend,39.04287500000004
2026-05-02 14:00:00,ROAD_003,411,43.2,Low,31.2,23.2,Moderate,27.6,0.0,8.5,14,Weekend,47.177
2026-05-02 15:00:00,ROAD_001,674,36.8,Medium,59.2,27.1,Moderate,26.8,0.0,9.2,15,Weekend,35.019000000000034
2026-05-02 15:00:00,ROAD_002,594,36.4,Medium,38.7,33.8,Moderate,26.8,0.0,9.2,15,Weekend,37.23487500000002
2026-05-02 15:00:00,ROAD_003,524,51.4,Low,35.0,38.1,Moderate,26.8,0.0,9.2,15,Weekend,51.87099999999999
2026-05-02 16:00:00,ROAD_001,814,33.3,Medium,54.1,44.8,Moderate,25.4,0.0,8.8,16,Weekend,34.42990000000001
2026-05-02 16:00:00,ROAD_002,668,36.4,Medium,42.1,35.7,Moderate,25.4,0.0,8.8,16,Weekend,37.13066666666662
2026-05-02 16:00:00,ROAD_003,525,48.1,Low,41.3,32.5,Moderate,25.4,0.0,8.8,16,Weekend,47.849000000000004
2026-05-02 17:00:00,ROAD_001,829,35.6,Medium,51.1,44.2,Moderate,23.5,0.0,9.0,17,Weekend,33.701999999999956
2026-05-02 17:00:00,ROAD_002,672,29.3,Medium,50.5,30.1,Moderate,23.5,0.0,9.0,17,Weekend,34.886999999999986
2026-05-02 17:00:00,ROAD_003,496,49.7,Low,36.1,30.7,Moderate,23.5,0.0,9.0,17,Weekend,49.40899999999991
2026-05-02 18:00:00,ROAD_001,772,34.8,Medium,50.6,39.3,Moderate,23.6,0.0,9.1,18,Weekend,34.98500000000003
2026-05-02 18:00:00,ROAD_002,638,35.5,Medium,46.3,37.3,Moderate,23.6,0.0,9.1,18,Weekend,36.025999999999996
2026-05-02 18:00:00,ROAD_003,577,48.2,Low,38.5,31.8,Moderate,23.6,0.0,9.1,18,Weekend,48.701999999999956
2026-05-02 19:00:00,ROAD_001,780,35.0,Medium,48.4,40.6,Moderate,18.9,0.0,8.6,19,Weekend,35.387
2026-05-02 19:00:00,ROAD_002,651,35.1,Medium,42.2,30.6,Moderate,18.9,0.0,8.6,19,Weekend,35.354999999999976
2026-05-02 19:00:00,ROAD_003,518,52.1,Low,45.2,32.2,Moderate,18.9,0.0,8.6,19,Weekend,51.967
2026-05-02 20:00:00,ROAD_001,557,36.9,Medium,40.9,32.8,Moderate,17.0,0.0,9.1,20,Weekend,36.78000000000006
2026-05-02 20:00:00,ROAD_002,464,33.4,Medium,36.8,36.8,Moderate,17.0,0.0,9.1,20,Weekend,35.60141666666671
2026-05-02 20:00:00,ROAD_003,391,52.0,Low,41.5,26.0,Moderate,17.0,0.0,9.1,20,Weekend,49.46600000000002
2026-05-02 21:00:00,ROAD_001,490,36.4,Medium,30.3,34.7,Moderate,17.2,0.0,9.8,21,Weekend,42.741500000000016
2026-05-02 21:00:00,ROAD_002,407,41.8,Low,32.9,27.4,Moderate,17.2,0.0,9.8,21,Weekend,41.171250000000065
2026-05-02 21:00:00,ROAD_003,421,52.8,Low,31.0,24.2,Moderate,17.2,0.0,9.8,21,Weekend,51.28590000000001
2026-05-02 22:00:00,ROAD_001,426,34.2,Medium,33.0,27.4,Moderate,16.3,0.0,8.7,22,Weekend,37.37554166666664
2026-05-02 22:00:00,ROAD_002,377,39.7,Low,24.5,22.2,Good,16.3,0.0,8.7,22,Weekend,39.074999999999946
2026-05-02 22:00:00,ROAD_003,216,55.1,Low,24.7,12.3,Good,16.3,0.0,8.7,22,Weekend,53.74213333333334
2026-05-02 23:00:00,ROAD_001,403,36.1,Medium,28.0,26.2,Good,15.9,0.0,8.8,23,Weekend,38.686999999999976
2026-05-02 23:00:00,ROAD_002,268,43.9,Low,27.1,20.0,Good,15.9,0.0,8.8,23,Weekend,43.00700000000003
2026-05-02 23:00:00,ROAD_003,212,56.0,Low,20.6,20.1,Good,15.9,0.0,8.8,23,Weekend,55.411
2026-05-03 00:00:00,ROAD_001,494,36.4,Medium,44.2,16.7,Moderate,12.8,0.0,9.8,0,Weekend,38.81300000000002
2026-05-03 00:00:00,ROAD_002,243,41.2,Low,20.0,19.3,Good,12.8,0.0,9.8,0,Weekend,41.62499999999997
2026-05-03 00:00:00,ROAD_003,273,53.5,Low,26.5,21.7,Good,12.8,0.0,9.8,0,Weekend,53.472316666666664
2026-05-03 01:00:00,ROAD_001,465,40.1,Low,38.4,23.2,Moderate,14.8,0.0,8.5,1,Weekend,41.48599999999998
2026-05-03 01:00:00,ROAD_002,396,41.8,Low,29.3,20.9,Good,14.8,0.0,8.5,1,Weekend,42.278600000000054
2026-05-03 01:00:00,ROAD_003,323,52.9,Low,32.0,17.1,Moderate,14.8,0.0,8.5,1,Weekend,55.34178333333329
2026-05-03 02:00:00,ROAD_001,632,34.0,Medium,44.6,33.1,Moderate,13.5,0.0,8.5,2,Weekend,35.035999999999994
2026-05-03 02:00:00,ROAD_002,565,35.2,Medium,37.1,26.0,Moderate,13.5,0.0,8.5,2,Weekend,37.4443333333333
2026-05-03 02:00:00,ROAD_003,333,58.4,Low,23.8,18.4,Good,13.5,0.0,8.5,2,Weekend,52.62533333333338
2026-05-03 03:00:00,ROAD_001,750,30.1,Medium,55.0,27.6,Moderate,16.7,0.0,8.8,3,Weekend,32.34019999999995
2026-05-03 03:00:00,ROAD_002,529,37.3,Medium,43.7,28.4,Moderate,16.7,0.0,8.8,3,Weekend,36.48186666666671
2026-05-03 03:00:00,ROAD_003,466,54.3,Low,46.7,29.0,Moderate,16.7,0.0,8.8,3,Weekend,53.29800000000002
2026-05-03 04:00:00,ROAD_001,756,34.6,Medium,40.9,38.7,Moderate,16.6,0.0,8.5,4,Weekend,34.809333333333285
2026-05-03 04:00:00,ROAD_002,753,36.5,Medium,46.5,38.5,Moderate,16.6,0.0,8.5,4,Weekend,37.21380000000001
2026-05-03 04:00:00,ROAD_003,603,52.1,Low,37.1,33.1,Moderate,16.6,0.0,8.5,4,Weekend,51.365000000000016
2026-05-03 05:00:00,ROAD_001,826,32.5,Medium,43.8,40.5,Moderate,20.0,0.6,5.8,5,Weekend,32.66299999999999
2026-05-03 05:00:00,ROAD_002,639,33.4,Medium,49.3,28.1,Moderate,20.0,0.6,5.8,5,Weekend,35.08400000000003
2026-05-03 05:00:00,ROAD_003,582,41.7,Low,50.4,28.4,Moderate,20.0,0.6,5.8,5,Weekend,43.65499999999995
2026-05-03 06:00:00,ROAD_001,832,26.5,Medium,50.2,35.2,Moderate,20.1,1.1,5.4,6,Weekend,31.831999999999976
2026-05-03 06:00:00,ROAD_002,605,38.7,Low,38.3,30.8,Moderate,20.1,1.1,5.4,6,Weekend,36.527999999999956
2026-05-03 06:00:00,ROAD_003,545,46.0,Low,47.2,27.6,Moderate,20.1,1.1,5.4,6,Weekend,46.19560000000001
2026-05-03 07:00:00,ROAD_001,745,37.4,Medium,51.6,29.8,Moderate,25.3,0.0,8.5,7,Weekend,36.34500000000004
2026-05-03 07:00:00,ROAD_002,570,37.4,Medium,40.3,32.4,Moderate,25.3,0.0,8.5,7,Weekend,37.57800000000003
2026-05-03 07:00:00,ROAD_003,487,45.8,Low,38.8,29.5,Moderate,25.3,0.0,8.5,7,Weekend,47.696000000000055
2026-05-03 08:00:00,ROAD_001,597,31.1,Medium,42.0,30.5,Moderate,27.4,1.0,6.4,8,Weekend,34.400760714285724
2026-05-03 08:00:00,ROAD_002,510,34.0,Medium,30.5,30.9,Moderate,27.4,1.0,6.4,8,Weekend,35.879
2026-05-03 08:00:00,ROAD_003,398,52.3,Low,31.1,22.8,Moderate,27.4,1.0,6.4,8,Weekend,51.061333333333394
2026-05-03 09:00:00,ROAD_001,483,38.6,Low,34.6,25.7,Moderate,29.0,0.0,8.6,9,Weekend,39.03399999999995
2026-05-03 09:00:00,ROAD_002,408,40.1,Low,39.6,20.7,Moderate,29.0,0.0,8.6,9,Weekend,41.20816666666664
2026-05-03 09:00:00,ROAD_003,312,52.2,Low,36.3,21.7,Moderate,29.0,0.0,8.6,9,Weekend,49.194500000000005
2026-05-03 10:00:00,ROAD_001,402,44.3,Low,33.5,28.3,Moderate,29.4,0.0,8.6,10,Weekend,43.72100000000003
2026-05-03 10:00:00,ROAD_002,306,47.9,Low,40.3,19.3,Moderate,29.4,0.0,8.6,10,Weekend,45.96733333333334
2026-05-03 10:00:00,ROAD_003,243,59.3,Low,33.8,16.4,Moderate,29.4,0.0,8.6,10,Weekend,56.149333333333395
2026-05-03 11:00:00,ROAD_001,306,40.9,Low,23.7,17.6,Good,28.2,0.0,8.5,11,Weekend,40.998000000000026
2026-05-03 11:00:00,ROAD_002,298,44.5,Low,36.2,16.4,Moderate,28.2,0.0,8.5,11,Weekend,43.51966666666667
2026-05-03 11:00:00,ROAD_003,279,53.5,Low,27.3,22.5,Good,28.2,0.0,8.5,11,Weekend,53.62991666666667
2026-05-03 12:00:00,ROAD_001,398,43.2,Low,34.4,33.8,Moderate,28.7,0.0,9.2,12,Weekend,41.454999999999956
2026-05-03 12:00:00,ROAD_002,301,42.1,Low,25.4,18.3,Good,28.7,0.0,9.2,12,Weekend,41.967999999999975
2026-05-03 12:00:00,ROAD_003,235,58.7,Low,32.7,15.9,Moderate,28.7,0.0,9.2,12,Weekend,57.45433333333328
2026-05-03 13:00:00,ROAD_001,457,42.4,Low,36.6,19.9,Moderate,28.3,0.0,9.4,13,Weekend,40.942000000000064
2026-05-03 13:00:00,ROAD_002,461,45.8,Low,32.7,24.6,Moderate,28.3,0.0,9.4,13,Weekend,41.57733333333334
2026-05-03 13:00:00,ROAD_003,331,54.1,Low,33.2,29.6,Moderate,28.3,0.0,9.4,13,Weekend,56.76400000000003
2026-05-03 14:00:00,ROAD_001,544,36.5,Medium,39.3,36.2,Moderate,28.6,0.0,8.2,14,Weekend,37.28942380952378
2026-05-03 14:00:00,ROAD_002,479,40.7,Low,36.5,31.5,Moderate,28.6,0.0,8.2,14,Weekend,40.74501111111115
2026-05-03 14:00:00,ROAD_003,501,48.0,Low,35.1,31.7,Moderate,28.6,0.0,8.2,14,Weekend,52.07479999999999
2026-05-03 15:00:00,ROAD_001,743,33.4,Medium,51.4,40.4,Moderate,27.9,0.0,9.4,15,Weekend,34.88700000000004
2026-05-03 15:00:00,ROAD_002,632,38.4,Low,48.8,36.8,Moderate,27.9,0.0,9.4,15,Weekend,38.37892500000005
2026-05-03 15:00:00,ROAD_003,535,50.8,Low,38.2,29.3,Moderate,27.9,0.0,9.4,15,Weekend,50.73733333333342
2026-05-03 16:00:00,ROAD_001,822,31.7,Medium,52.1,43.9,Moderate,27.0,0.0,8.7,16,Weekend,32.41099999999996
2026-05-03 16:00:00,ROAD_002,680,36.0,Medium,38.8,36.8,Moderate,27.0,0.0,8.7,16,Weekend,35.27049999999999
2026-05-03 16:00:00,ROAD_003,564,54.7,Low,38.8,30.6,Moderate,27.0,0.0,8.7,16,Weekend,52.32799999999997
2026-05-03 17:00:00,ROAD_001,836,33.4,Medium,55.7,40.0,Moderate,24.2,0.0,9.5,17,Weekend,32.50200000000003
2026-05-03 17:00:00,ROAD_002,682,36.4,Medium,51.1,29.8,Moderate,24.2,0.0,9.5,17,Weekend,32.828000000000024
2026-05-03 17:00:00,ROAD_003,565,46.1,Low,46.4,23.7,Moderate,24.2,0.0,9.5,17,Weekend,47.402999999999984
2026-05-03 18:00:00,ROAD_001,785,34.8,Medium,58.2,37.2,Moderate,23.5,0.0,8.1,18,Weekend,36.474000000000004
2026-05-03 18:00:00,ROAD_002,650,42.1,Low,37.0,24.0,Moderate,23.5,0.0,8.1,18,Weekend,39.05099999999996
2026-05-03 18:00:00,ROAD_003,556,46.9,Low,34.9,32.3,Moderate,23.5,0.0,8.1,18,Weekend,47.90699999999998
